FC ,OT ,JC ,E  ,A  ,D  ,I  ,FJ ,IE ,F  ,FA ,B  ,AC , C ,IC ,AH , E ,JF ,EF ,duration,target,age_lastyear,GENDER,HHSIZE,num_kids_lastyear,novehicle,work_income,nonwork_income,total_income
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,40.0,F,4.0,3.0,1,0.0,29472.0,29472.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,32.0,M,1.0,0.0,0,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,,,5.0,3.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,44.0,F,3.0,1.0,0,97280.04,0.0,97280.04
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,,4.0,0.0,0,0.0,8376.0,8376.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,,4.0,2.0,0,19719.7,0.0,19719.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,5.0,4.0,1,27037.920000000002,0.0,27037.920000000002
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,3.0,2.0,1,78860.59999999999,0.0,78860.59999999999
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,41.0,F,7.0,4.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,34.0,F,5.0,3.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,28.0,F,3.0,2.0,1,90126.40000000001,0.0,90126.40000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,6.0,1.0,0,0.0,108151.68000000001,108151.68000000001
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,,3.0,2.0,1,21463.52,0.0,21463.52
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,29.0,F,4.0,3.0,0,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,42.0,F,4.0,1.0,0,0.0,9624.0,9624.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,31.0,F,3.0,2.0,1,56329.0,4800.0,61129.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,4.0,3.0,1,0.0,6000.0,6000.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,2.0,1.0,1,60835.32000000001,20278.440000000002,81113.76000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,4.0,3.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,63.0,F,2.0,1.0,1,0.0,11832.0,11832.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,4.0,3.0,0,90126.40000000001,18060.0,108186.40000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,5.0,3.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,,,2.0,0.0,1,24746.28,4594.799999999999,29341.079999999998
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,37.0,F,7.0,5.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,5.0,4.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,34.0,F,5.0,3.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,6.0,5.0,1,0.0,5400.0,5400.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,6.0,4.0,1,90126.40000000001,16224.0,106350.40000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,,,2.0,1.0,1,28164.76,17124.12,45288.88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,,3.0,2.0,1,12996.0,11265.800000000001,24261.800000000003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,3.0,2.0,1,63891.880000000005,0.0,63891.880000000005
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,,,4.0,3.0,1,56342.0,0.0,56342.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,1.0,0.0,0,74674.08,0.0,74674.08
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,,,5.0,3.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,52.0,F,2.0,0.0,0,0.0,9660.0,9660.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,,,5.0,3.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,,,3.0,1.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,60.0,F,1.0,0.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,42.0,M,4.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,5.0,4.0,1,6000.0,0.0,6000.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,51.0,M,7.0,3.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,17.0,F,7.0,3.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,58.0,F,1.0,0.0,1,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,30.0,F,1.0,0.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,,,3.0,2.0,0,95166.76000000001,1800.0,96966.76000000001
